threshold,approval_rate,decline_rate,precision,recall_bad_loan_capture_rate,f1_score,false_positive_rate,true_positive,false_positive,true_negative,false_negative
0.1,0.9667,0.0333,0.1319,0.2366,0.1694,0.0294,818,5382,177510,2640
0.101,0.9674,0.0326,0.1337,0.2348,0.1704,0.0288,812,5261,177631,2646
0.102,0.9681,0.0319,0.135,0.2319,0.1706,0.0281,802,5140,177752,2656
0.103,0.9688,0.0312,0.1345,0.2264,0.1688,0.0275,783,5038,177854,2675
0.104,0.9694,0.0306,0.1352,0.223,0.1684,0.027,771,4930,177962,2687
0.105,0.97,0.03,0.1364,0.2206,0.1686,0.0264,763,4831,178061,2695
0.106,0.9706,0.0294,0.1368,0.2169,0.1678,0.0259,750,4733,178159,2708
0.107,0.9712,0.0288,0.1381,0.2143,0.168,0.0253,741,4625,178267,2717
0.108,0.9718,0.0282,0.1392,0.2117,0.168,0.0247,732,4525,178367,2726
0.109,0.9723,0.0277,0.1398,0.2091,0.1676,0.0243,723,4448,178444,2735
0.11,0.9728,0.0272,0.1416,0.2073,0.1683,0.0238,717,4348,178544,2741
